Flow;Steam;pressure;temperature;compo1;compo2;compo3;compo4;compo5;compo6;compo7;compo8;compo9;compo10;compo11
13,937504;0,5767;2,73217613;844,6207;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
16,25568;0,3888;2,409532215;830,8661;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
17,76416;0,5053;2,116308718;830,6362;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
14,182144;0,3404;2,427184466;803,9723;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
13,20816;0,3729;2,778268118;795,0369;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
13,526048;0,5334;2,149651858;829,4175;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
17,339328;0,4608;2,710601157;816,4738;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
16,619328;0,4035;2,2840051;852,3208;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
16,257344;0,4833;2,421300382;858,4932;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
16,30512;0,3973;2,653721683;810,0143;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
16,492448;0,5776;2,321270962;833,1248;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
13,211648;0,5811;2,11925076;853,5205;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
16,152224;0,5319;2,481121899;829,5721;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
12,77584;0,4875;2,652741002;843,7283;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
15,820416;0,5505;2,936157693;835,5565;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
14,015872;0,4992;2,289889183;852,9888;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
15,205728;0,5563;2,76453859;834,5928;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
14,055424;0,5707;2,132980288;854,6594;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
13,54016;0,4314;2,427184466;836,9318;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
16,396672;0,4874;2,220260861;863,3475;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
13,727296;0,5945;2,16828479;853,3226;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
12,944128;0,4614;2,457585564;819,4698;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
12,240416;0,5163;2,772384035;817,8071;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
17,777696;0,5665;2,313425517;848,9868;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
16,772256;0,5725;2,398744729;854,0554;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
14,676;0,5088;2,874374816;810,8345;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
13,631168;0,3332;2,960674708;830,4899;0,007;0,109;96,982;0,919;0,31;0,551;0,756;0,166;0,2;0;0
16,390816;0,3361;2,264391488;815,521;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
16,892;0,4919;2,68216142;840,1931;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
13,668864;0,5845;2,428165147;826,4185;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
13,292768;0,3294;2,706678435;803,6808;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
12,026912;0,362;2,971462195;801,3324;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
12,884064;0,3175;2,576247916;812,9447;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
12,27392;0,5703;2,773364715;820,0958;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
13,427168;0,5588;2,564479749;823,6156;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
12,785376;0,5637;2,149651858;815,5692;0;0,7649847;61,36577268;37,31025379;0,05299894;0,04199916;0,10199796;0,21099578;0,14399712;0,00699986;0
