DUTY;ΔP;COKING_RATE;output1;output2;output3;output4;output5;output6;output7;output8;output9;output10;output11;output12;output13;output14;output15;output16;output17;output18;output19;output20;output21;output22;output23;output24;output25;output26;output27;output28;output29;output30;output31;output32;output33;output34;output35;output36;output37;output38;output39;output40;output41;output42;output43;output44;output45;output46;output47
12,35496768;0,545529;3,16771;1,18154;0,1843028;23,6362;0,852305;32,1783;2,86305;1,29075;14,7871;0,35995;3,63356;1,231703;3,01174;1,59302;0,588645;0,118593;0,778341;0,000384649;8,90756E-05;0,00221573;0,170992;0,0337476;0,0088472;0,1010121;0,000069314;0,350976;0,208777;5,39264;0,0511144;0;0,404941666;0;0;0;1,67928;0,0349944;0;0;0;0,088426637;0;0;0;0,282121;0,6390044;0,00622979;0,3138869;1,941203186
11,3860119;0,45216;2,1828;1,01031;0,09460007;21,5872;0,430296;27,8767;3,21418;0,947529;18,3721;0,515448;3,12616;1,626524;4,61677;4,05803;1,74458;0,0503079;0,884959;0,000480279;0,000379348;0,0110705;0,216455;0,0524549;0,0141125;0,1959262;0,000332878;0,334095;0,268127;4,20519;0,0562597;0;0,629056021;0;0;0;1,52214;0,0531225;0;0;0;0,167463717;0;0;0;0,281622;0,3719421;0,013731956;0,2548442;1,195469738
11,73152525;0,51617;;0,95237;0,1014953;20,3672;0,350768;26,1368;3,22816;0,834155;19,6644;0,574705;2,91028;1,785111;5,27674;5,66714;2,53928;0,0366432;0,881392;0,000471927;0,000629111;0,0190135;0,227018;0,0600126;0,0162983;0,2377663;0,000567891;0,317725;0,279285;3,53724;0,0557853;0;0,70857676;0;0;0;1,34432;0,0588578;0;0;0;0,203613698;0;0;0;0,253341;0,2700722;0,017387075;0,2067695;0,878679439
13,55272742;0,422319;3,14724;1,01031;0,0929614;24,3848;0,38119;27,708;3,81051;0,790484;15,9232;0,502384;2,94549;1,287781;3,56958;2,14005;0,893668;0,0531608;0,843981;0,000766206;0,000147584;0,00425901;0,247563;0,0600165;0,0149538;0,1432663;0,000211842;0,304286;0,23251;5,85665;0,079631;0;0,560632916;0;0;0;2,15028;0,0669111;0;0;0;0,157038704;0;0;0;0,389826;0,656243;0,015088275;0,4450548;2,277102714
12,40029677;0,41851;2,45298;0,986495;0,0988084;23,1484;0,357954;27,2058;3,68416;0,793494;17,3097;0,534452;2,93521;1,443535;4,15795;3,04925;1,30954;0,0456449;0,877974;0,000696538;0,000250713;0,0074077;0,247791;0,0621539;0,0159456;0,1725078;0,00030604;0,31329;0,252388;5,13029;0,0738003;0;0,629312937;0;0;0;1,92752;0,0677364;0;0;0;0,177120471;0;0;0;0,357441;0,5061213;0,016913092;0,3664051;1,736297195
9,980475232;0,42424;;0,942046;0,0862025;19,7801;0,335371;25,7829;3,10657;0,83064;20,0496;0,57824;2,8688;1,854274;5,51851;6,39681;2,88153;0,0341276;0,869129;0,000420739;0,000750139;0,0227611;0,217464;0,057695;0,0161198;0,2513001;0,00064225;0,313344;0,281797;3,23963;0,0508964;0;0,714990085;0;0;0;1,2368;0,0553884;0;0;0;0,206124067;0;0;0;0,233027;0,235028;0,017012625;0,1808715;0,753113693
9,715534528;0,337821;;0,849879;0,05952337;19,8125;0,207404;23,3477;3,60396;0,604864;20,6204;0,671427;2,50944;1,843155;5,87226;7,10978;3,3159;0,0208504;0,865324;0,000575389;0,000887433;0,0280163;0,253046;0,075323;0,0211638;0,2647524;0,000992415;0,288768;0,277757;3,32339;0,0628262;0;0,828280784;0;0;0;1,40578;0,0759932;0;0;0;0,258771119;0;0;0;0,268935;0,2263302;0,026304472;0,2098007;0,787933957
10,93208835;0,445838;;0,956354;0,1169953;21,0365;0,342176;26,2884;3,35045;0,801911;19,2167;0,570015;2,88045;1,695897;5,06282;5,02594;2,23414;0,037161;0,889037;0,000542448;0,000526343;0,0159051;0,236971;0,0623577;0,0167225;0,2219009;0,000516644;0,314247;0,273743;3,91101;0,0619436;0;0,706378434;0;0;0;1,50016;0,0639061;0;0;0;0,203790179;0;0;0;0,284027;0,3140716;0,018347255;0,2434967;1,044509308
9,916463712;0,365739;;0,924002;0,0908355;20,8054;0,288908;25,4285;3,44476;0,733058;19,5981;0,597921;2,76079;1,727847;5,28739;5,49913;2,47809;0,0311309;0,887654;0,000564923;0,000602812;0,0184976;0,242804;0,0660063;0,0179781;0,2329852;0,000622763;0,306979;0,275986;3,81012;0,0628508;0;0,743753255;0;0;0;1,50932;0,0679887;0;0;0;0,219420745;0;0;0;0,287246;0,2945976;0,020640666;0,2416116;0,995914537
13,98394922;0,545339;2,98518;1,03952;0,1138591;23,0502;0,474919;28,628;3,39066;0,948214;16,9016;0,485311;3,18312;1,43007;3,92918;2,7532;1,14838;0,0609064;0,867705;0,000576256;0,000213043;0,00605491;0,225266;0,052814;0,013575;0,1591221;0,000216576;0,330491;0,248114;5,04871;0,0655999;0;0,569179927;0;0;0;1,79078;0,056087;0;0;0;0,150201766;0;0;0;0,325507;0,5146001;0,012895339;0,3346667;1,690564605
